airbnb_listing_id,n_dates,coverage
52266549,77,0.7333333333333333
52346232,59,0.5619047619047619
52348108,43,0.4095238095238095
52354467,68,0.6476190476190476
52358821,84,0.8
52365560,75,0.7142857142857143
52472131,87,0.8285714285714286
52474050,22,0.20952380952380953
52530322,78,0.7428571428571429
52536443,26,0.24761904761904763
52596621,104,0.9904761904761905
52619006,58,0.5523809523809524
52627650,12,0.11428571428571428
52646204,66,0.6285714285714286
52650644,75,0.7142857142857143
52652931,46,0.4380952380952381
52670832,13,0.12380952380952381
52758042,103,0.9809523809523809
52826190,38,0.3619047619047619
52884842,89,0.8476190476190476
52969803,70,0.6666666666666666
53008127,56,0.5333333333333333
53077335,11,0.10476190476190476
53113087,57,0.5428571428571428
53133732,82,0.780952380952381
53143021,49,0.4666666666666667
53154219,87,0.8285714285714286
53175731,101,0.9619047619047619
53190433,39,0.37142857142857144
53195241,85,0.8095238095238095
53240300,79,0.7523809523809524
53280496,35,0.3333333333333333
53314692,60,0.5714285714285714
53325047,50,0.47619047619047616
53337464,89,0.8476190476190476
53340772,69,0.6571428571428571
53365226,54,0.5142857142857142
53445765,58,0.5523809523809524
53448627,26,0.24761904761904763
53458717,51,0.4857142857142857
53474066,39,0.37142857142857144
53492577,28,0.26666666666666666
53581602,70,0.6666666666666666
53605382,39,0.37142857142857144
53643568,25,0.23809523809523808
53645678,61,0.580952380952381
53656846,43,0.4095238095238095
53669499,59,0.5619047619047619
53671997,23,0.21904761904761905
53717416,76,0.7238095238095238
53733977,38,0.3619047619047619
53738511,64,0.6095238095238096
53794321,67,0.638095238095238
53796581,58,0.5523809523809524
53803935,26,0.24761904761904763
53815397,72,0.6857142857142857
53825192,50,0.47619047619047616
53893648,56,0.5333333333333333
53899162,72,0.6857142857142857
53903158,72,0.6857142857142857
53914255,47,0.44761904761904764
53915734,64,0.6095238095238096
53918137,62,0.5904761904761905
53936201,43,0.4095238095238095
53972959,73,0.6952380952380952
53973724,69,0.6571428571428571
53986731,15,0.14285714285714285
54005716,43,0.4095238095238095
54020562,29,0.2761904761904762
54145466,90,0.8571428571428571
54167570,81,0.7714285714285715
54237040,66,0.6285714285714286
54245203,23,0.21904761904761905
54246694,89,0.8476190476190476
54287612,63,0.6
54365625,81,0.7714285714285715
525472560929976068,87,0.8285714285714286
543584528464360785,60,0.5714285714285714
549056203343531816,48,0.45714285714285713
552912581186899747,49,0.4666666666666667
553578003486746447,15,0.14285714285714285
557386903732882183,53,0.5047619047619047
572368704250611987,36,0.34285714285714286
573122310094338767,44,0.41904761904761906
577333685681759877,38,0.3619047619047619
577547502503396579,58,0.5523809523809524
580407424598756855,23,0.21904761904761905
580589381711973141,52,0.49523809523809526
599368528094352718,24,0.22857142857142856
604521043281534642,27,0.2571428571428571
605748852048435444,61,0.580952380952381
610155932497817911,65,0.6190476190476191
612245203931813020,66,0.6285714285714286
613221032690703355,48,0.45714285714285713
618150693526656201,48,0.45714285714285713
618943952389206201,80,0.7619047619047619
621626596784793972,43,0.4095238095238095
622878708674009200,74,0.7047619047619048
627388721154300829,26,0.24761904761904763
628340205412932131,12,0.11428571428571428
628897724940732017,25,0.23809523809523808
629724091250673746,71,0.6761904761904762
630326155301078742,37,0.3523809523809524
633809099013662442,42,0.4
639163267116212627,8,0.0761904761904762
639216644351145145,16,0.1523809523809524
645092818132652927,29,0.2761904761904762
667324814851452653,67,0.638095238095238
668715506986619718,45,0.42857142857142855
670778657683556451,41,0.3904761904761905
673825002694927178,42,0.4
673826204715344716,53,0.5047619047619047
673826267743797671,27,0.2571428571428571
674566887638611404,42,0.4
675242237586865339,77,0.7333333333333333
676838365540390245,20,0.19047619047619047
678242953903453952,49,0.4666666666666667
679166677359467385,79,0.7523809523809524
681139047695558927,47,0.44761904761904764
681894806923375678,39,0.37142857142857144
684782448665574114,60,0.5714285714285714
686743101124580615,27,0.2571428571428571
687757820659405525,90,0.8571428571428571
693024169316156606,44,0.41904761904761906
694313018923554703,29,0.2761904761904762
694947516825280143,23,0.21904761904761905
703527486074504582,74,0.7047619047619048
703538637731385185,76,0.7238095238095238
703678241822238330,60,0.5714285714285714
705946468067026302,60,0.5714285714285714
708045427082372124,94,0.8952380952380953
711032530664362412,35,0.3333333333333333
716703779507124462,72,0.6857142857142857
718922870189236806,29,0.2761904761904762
719355891470345652,78,0.7428571428571429
721143022842232721,59,0.5619047619047619
721635424816164605,59,0.5619047619047619
725205326528652381,5,0.047619047619047616
725867973010290782,66,0.6285714285714286
